Comparison,Codec,Preset,Sequence,Crf,Real_bitrate,Subjective,Video_name
2018,x264,mv_ripping,playground_sh,1000,0,0.6298926913593168,enc_res_x264_mv_ripping_playground_sh_1000
2018,x264,mv_ripping,playground_sh,2000,0,4.32345256620003,enc_res_x264_mv_ripping_playground_sh_2000
2018,x264,mv_ripping,playground_sh,4000,0,5.979227622378827,enc_res_x264_mv_ripping_playground_sh_4000
2018,x265,mv_ripping,playground_sh,1000,0,1.5257417433398557,enc_res_x265_mv_ripping_playground_sh_1000
2018,x265,mv_ripping,playground_sh,2000,0,4.718482423635089,enc_res_x265_mv_ripping_playground_sh_2000
2018,x265,mv_ripping,playground_sh,4000,0,6.005508655038627,enc_res_x265_mv_ripping_playground_sh_4000
2018,intel_svt_hevc,mv_universal,playground_sh,1000,0,2.701750582060524,enc_res_intel_svt_hevc_mv_universal_playground_sh_1000
2018,intel_svt_hevc,mv_universal,playground_sh,2000,0,4.066747629383096,enc_res_intel_svt_hevc_mv_universal_playground_sh_2000
2018,intel_svt_hevc,mv_universal,playground_sh,4000,0,5.165782667934203,enc_res_intel_svt_hevc_mv_universal_playground_sh_4000
2018,vitec_v3,mv_fast,playground_sh,1000,0,3.5273873219721525,enc_res_vitec_v3_mv_fast_playground_sh_1000
2018,vitec_v3,mv_fast,playground_sh,2000,0,4.915493721811583,enc_res_vitec_v3_mv_fast_playground_sh_2000
2018,vitec_v3,mv_fast,playground_sh,4000,0,6.230979670869217,enc_res_vitec_v3_mv_fast_playground_sh_4000
2018,divx,mv_ripping,red_kayak_sh,1000,0,2.1193604596977207,enc_res_divx_mv_ripping_red_kayak_sh_1000
2018,divx,mv_ripping,red_kayak_sh,2000,0,4.135675195962802,enc_res_divx_mv_ripping_red_kayak_sh_2000
2018,divx,mv_ripping,red_kayak_sh,4000,0,5.011739344120301,enc_res_divx_mv_ripping_red_kayak_sh_4000
2018,huawei1,mv_ripping,red_kayak_sh,1000,0,0.0,enc_res_huawei1_mv_ripping_red_kayak_sh_1000
2018,huawei1,mv_ripping,red_kayak_sh,2000,0,0.0,enc_res_huawei1_mv_ripping_red_kayak_sh_2000
2018,huawei1,mv_ripping,red_kayak_sh,4000,0,0.0,enc_res_huawei1_mv_ripping_red_kayak_sh_4000
2018,huawei2,mv_ripping,red_kayak_sh,1000,0,2.7090843210508853,enc_res_huawei2_mv_ripping_red_kayak_sh_1000
2018,huawei2,mv_ripping,red_kayak_sh,2000,0,4.483131070033222,enc_res_huawei2_mv_ripping_red_kayak_sh_2000
2018,huawei2,mv_ripping,red_kayak_sh,4000,0,5.318968437988263,enc_res_huawei2_mv_ripping_red_kayak_sh_4000
2018,intel_mfx_sw,mv_ripping,red_kayak_sh,2000,0,3.679409647793813,enc_res_intel_mfx_sw_mv_ripping_red_kayak_sh_2000
2018,intel_mfx_sw,mv_ripping,red_kayak_sh,4000,0,4.977189213704843,enc_res_intel_mfx_sw_mv_ripping_red_kayak_sh_4000
2018,intel_svt_hevc,mv_ripping,red_kayak_sh,1000,0,2.212103776787792,enc_res_intel_svt_hevc_mv_ripping_red_kayak_sh_1000
2018,intel_svt_hevc,mv_ripping,red_kayak_sh,2000,0,3.231077484976708,enc_res_intel_svt_hevc_mv_ripping_red_kayak_sh_2000
2018,intel_svt_hevc,mv_ripping,red_kayak_sh,4000,0,4.417478827314609,enc_res_intel_svt_hevc_mv_ripping_red_kayak_sh_4000
2018,ks265,mv_ripping,red_kayak_sh,1000,0,1.823986122326541,enc_res_ks265_mv_ripping_red_kayak_sh_1000
2018,ks265,mv_ripping,red_kayak_sh,2000,0,3.124242598653843,enc_res_ks265_mv_ripping_red_kayak_sh_2000
